metric,estimate,ci_lo,ci_hi,denominator,unit,scope,model,domain,stratum,budget,fold_direction,status,feature_block,source,source_sha16
coverage_oracle,1.0,,,5,configuration,"5 configurations; descriptive trajectory point; no interval, no p-value",qwen3.5:9b,customer_service,,1.0,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_mesa,0.2508812174524249,,,5,configuration,5 configurations; predeclared budget; carries inference,llama3.1:8b,customer_service,,0.1,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_random,0.155,,,5,configuration,5 configurations; predeclared budget; carries inference,llama3.1:8b,customer_service,,0.1,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_oracle,0.3369824256124566,,,5,configuration,5 configurations; predeclared budget; carries inference,llama3.1:8b,customer_service,,0.1,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
mesa_minus_random,0.09588121745242488,0.06809417334185137,0.1236682615629984,5,configuration,"paired, configuration-level; sign-flip p=0.06250 (min attainable 0.06250)",llama3.1:8b,customer_service,,0.1,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_mesa,0.3436788569760706,,,5,configuration,5 configurations; predeclared budget; carries inference,llama3.1:8b,customer_service,,0.2,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_random,0.22000000000000003,,,5,configuration,5 configurations; predeclared budget; carries inference,llama3.1:8b,customer_service,,0.2,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_oracle,0.4469494592095211,,,5,configuration,5 configurations; predeclared budget; carries inference,llama3.1:8b,customer_service,,0.2,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
mesa_minus_random,0.12367885697607059,0.11181565023670288,0.13322270322270321,5,configuration,"paired, configuration-level; sign-flip p=0.06250 (min attainable 0.06250)",llama3.1:8b,customer_service,,0.2,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_mesa,0.5151137461895976,,,5,configuration,"5 configurations; descriptive trajectory point; no interval, no p-value",llama3.1:8b,customer_service,,0.3,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_random,0.375,,,5,configuration,"5 configurations; descriptive trajectory point; no interval, no p-value",llama3.1:8b,customer_service,,0.3,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_oracle,0.6234434459589259,,,5,configuration,"5 configurations; descriptive trajectory point; no interval, no p-value",llama3.1:8b,customer_service,,0.3,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_mesa,0.5643339576660009,,,5,configuration,"5 configurations; descriptive trajectory point; no interval, no p-value",llama3.1:8b,customer_service,,0.4,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_random,0.44000000000000006,,,5,configuration,"5 configurations; descriptive trajectory point; no interval, no p-value",llama3.1:8b,customer_service,,0.4,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_oracle,0.7000023677732656,,,5,configuration,"5 configurations; descriptive trajectory point; no interval, no p-value",llama3.1:8b,customer_service,,0.4,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_mesa,0.6264461826729628,,,5,configuration,"5 configurations; descriptive trajectory point; no interval, no p-value",llama3.1:8b,customer_service,,0.5,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_random,0.52,,,5,configuration,"5 configurations; descriptive trajectory point; no interval, no p-value",llama3.1:8b,customer_service,,0.5,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_oracle,0.765211223245279,,,5,configuration,"5 configurations; descriptive trajectory point; no interval, no p-value",llama3.1:8b,customer_service,,0.5,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_mesa,0.7085479891052646,,,5,configuration,"5 configurations; descriptive trajectory point; no interval, no p-value",llama3.1:8b,customer_service,,0.6,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_random,0.635,,,5,configuration,"5 configurations; descriptive trajectory point; no interval, no p-value",llama3.1:8b,customer_service,,0.6,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_oracle,0.8506182084742455,,,5,configuration,"5 configurations; descriptive trajectory point; no interval, no p-value",llama3.1:8b,customer_service,,0.6,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_mesa,0.902662743459957,,,5,configuration,"5 configurations; descriptive trajectory point; no interval, no p-value",llama3.1:8b,customer_service,,0.8,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_random,0.8550000000000001,,,5,configuration,"5 configurations; descriptive trajectory point; no interval, no p-value",llama3.1:8b,customer_service,,0.8,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_oracle,0.9556370091896408,,,5,configuration,"5 configurations; descriptive trajectory point; no interval, no p-value",llama3.1:8b,customer_service,,0.8,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_mesa,1.0,,,5,configuration,"5 configurations; descriptive trajectory point; no interval, no p-value",llama3.1:8b,customer_service,,1.0,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_random,1.0,,,5,configuration,"5 configurations; descriptive trajectory point; no interval, no p-value",llama3.1:8b,customer_service,,1.0,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_oracle,1.0,,,5,configuration,"5 configurations; descriptive trajectory point; no interval, no p-value",llama3.1:8b,customer_service,,1.0,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_mesa,0.3385266785013697,,,15,configuration,15 configurations; predeclared budget; carries inference,MACRO,customer_service,,0.1,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_random,0.155,,,15,configuration,15 configurations; predeclared budget; carries inference,MACRO,customer_service,,0.1,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_oracle,0.3960443916255028,,,15,configuration,15 configurations; predeclared budget; carries inference,MACRO,customer_service,,0.1,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
mesa_minus_random,0.18352667850136975,0.12060836869871393,0.25535444785465355,15,configuration,"paired, configuration-level; sign-flip p=0.00006 (min attainable 0.00006)",MACRO,customer_service,,0.1,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_mesa,0.4290426951356535,,,15,configuration,15 configurations; predeclared budget; carries inference,MACRO,customer_service,,0.2,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_random,0.22000000000000006,,,15,configuration,15 configurations; predeclared budget; carries inference,MACRO,customer_service,,0.2,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_oracle,0.5169380671048753,,,15,configuration,15 configurations; predeclared budget; carries inference,MACRO,customer_service,,0.2,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
mesa_minus_random,0.20904269513565346,0.1469819018800291,0.2744821623899812,15,configuration,"paired, configuration-level; sign-flip p=0.00006 (min attainable 0.00006)",MACRO,customer_service,,0.2,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_mesa,0.5957206231145943,,,15,configuration,"15 configurations; descriptive trajectory point; no interval, no p-value",MACRO,customer_service,,0.3,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_random,0.375,,,15,configuration,"15 configurations; descriptive trajectory point; no interval, no p-value",MACRO,customer_service,,0.3,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_oracle,0.6970486818074454,,,15,configuration,"15 configurations; descriptive trajectory point; no interval, no p-value",MACRO,customer_service,,0.3,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_mesa,0.6388190960697702,,,15,configuration,"15 configurations; descriptive trajectory point; no interval, no p-value",MACRO,customer_service,,0.4,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_random,0.4400000000000001,,,15,configuration,"15 configurations; descriptive trajectory point; no interval, no p-value",MACRO,customer_service,,0.4,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_oracle,0.7660251832550347,,,15,configuration,"15 configurations; descriptive trajectory point; no interval, no p-value",MACRO,customer_service,,0.4,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_mesa,0.6760522063421128,,,15,configuration,"15 configurations; descriptive trajectory point; no interval, no p-value",MACRO,customer_service,,0.5,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_random,0.52,,,15,configuration,"15 configurations; descriptive trajectory point; no interval, no p-value",MACRO,customer_service,,0.5,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_oracle,0.8253364437919017,,,15,configuration,"15 configurations; descriptive trajectory point; no interval, no p-value",MACRO,customer_service,,0.5,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_mesa,0.7496718031179876,,,15,configuration,"15 configurations; descriptive trajectory point; no interval, no p-value",MACRO,customer_service,,0.6,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_random,0.6349999999999999,,,15,configuration,"15 configurations; descriptive trajectory point; no interval, no p-value",MACRO,customer_service,,0.6,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_oracle,0.8968243868789078,,,15,configuration,"15 configurations; descriptive trajectory point; no interval, no p-value",MACRO,customer_service,,0.6,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_mesa,0.9030970271965749,,,15,configuration,"15 configurations; descriptive trajectory point; no interval, no p-value",MACRO,customer_service,,0.8,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_random,0.8550000000000002,,,15,configuration,"15 configurations; descriptive trajectory point; no interval, no p-value",MACRO,customer_service,,0.8,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_oracle,0.9700417466552741,,,15,configuration,"15 configurations; descriptive trajectory point; no interval, no p-value",MACRO,customer_service,,0.8,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_mesa,1.0,,,15,configuration,"15 configurations; descriptive trajectory point; no interval, no p-value",MACRO,customer_service,,1.0,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_random,1.0,,,15,configuration,"15 configurations; descriptive trajectory point; no interval, no p-value",MACRO,customer_service,,1.0,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_oracle,1.0,,,15,configuration,"15 configurations; descriptive trajectory point; no interval, no p-value",MACRO,customer_service,,1.0,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_mesa,0.14624434389140273,,,5,configuration,5 configurations; predeclared budget; carries inference,gemma4:e4b,software_engineering,,0.1,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_random,0.155,,,5,configuration,5 configurations; predeclared budget; carries inference,gemma4:e4b,software_engineering,,0.1,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_oracle,0.534295410471881,,,5,configuration,5 configurations; predeclared budget; carries inference,gemma4:e4b,software_engineering,,0.1,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
mesa_minus_random,-0.008755656108597298,-0.09346153846153846,0.12470588235294118,5,configuration,"paired, configuration-level; sign-flip p=0.93750 (min attainable 0.06250)",gemma4:e4b,software_engineering,,0.1,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_mesa,0.17248868778280543,,,5,configuration,5 configurations; predeclared budget; carries inference,gemma4:e4b,software_engineering,,0.2,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_random,0.22000000000000003,,,5,configuration,5 configurations; predeclared budget; carries inference,gemma4:e4b,software_engineering,,0.2,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_oracle,0.6285908209437621,,,5,configuration,5 configurations; predeclared budget; carries inference,gemma4:e4b,software_engineering,,0.2,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
mesa_minus_random,-0.04751131221719457,-0.15751131221719458,0.11248868778280544,5,configuration,"paired, configuration-level; sign-flip p=0.56250 (min attainable 0.06250)",gemma4:e4b,software_engineering,,0.2,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_mesa,0.2628506787330317,,,5,configuration,"5 configurations; descriptive trajectory point; no interval, no p-value",gemma4:e4b,software_engineering,,0.3,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_random,0.375,,,5,configuration,"5 configurations; descriptive trajectory point; no interval, no p-value",gemma4:e4b,software_engineering,,0.3,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_oracle,0.7900258564964447,,,5,configuration,"5 configurations; descriptive trajectory point; no interval, no p-value",gemma4:e4b,software_engineering,,0.3,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_mesa,0.3974983839689722,,,5,configuration,"5 configurations; descriptive trajectory point; no interval, no p-value",gemma4:e4b,software_engineering,,0.4,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_random,0.44000000000000006,,,5,configuration,"5 configurations; descriptive trajectory point; no interval, no p-value",gemma4:e4b,software_engineering,,0.4,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_oracle,0.8314608920491274,,,5,configuration,"5 configurations; descriptive trajectory point; no interval, no p-value",gemma4:e4b,software_engineering,,0.4,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_mesa,0.48188213747037273,,,5,configuration,"5 configurations; descriptive trajectory point; no interval, no p-value",gemma4:e4b,software_engineering,,0.5,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_random,0.52,,,5,configuration,"5 configurations; descriptive trajectory point; no interval, no p-value",gemma4:e4b,software_engineering,,0.5,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_oracle,0.9025113122171945,,,5,configuration,"5 configurations; descriptive trajectory point; no interval, no p-value",gemma4:e4b,software_engineering,,0.5,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_mesa,0.609947209653092,,,5,configuration,"5 configurations; descriptive trajectory point; no interval, no p-value",gemma4:e4b,software_engineering,,0.6,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_random,0.635,,,5,configuration,"5 configurations; descriptive trajectory point; no interval, no p-value",gemma4:e4b,software_engineering,,0.6,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_oracle,0.9160859728506787,,,5,configuration,"5 configurations; descriptive trajectory point; no interval, no p-value",gemma4:e4b,software_engineering,,0.6,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
coverage_mesa,0.8286457659987072,,,5,configuration,"5 configurations; descriptive trajectory point; no interval, no p-value",gemma4:e4b,software_engineering,,0.8,,canonical,structural_dynamic,tables/canonical_ranking_curve.json,cae15ed2f718f1b5
